Student_ID,Branch,Diploma_Percentage,CGPA,Attendance_Percent,Aptitude_Score,Technical_Score,Communication_Skill,Internship_Completed,Projects_Count,Placement_Status
STU0066,Mechanical,70.4,7.41,82.2,51,43,Excellent,Yes,3,Placed
STU0067,Electrical,70.8,7.45,86.6,73,80,Good,Yes,4,Placed
STU0068,Computer,56.7,5.97,52.8,91,63,Excellent,Yes,4,Placed
STU0069,Civil,41.7,4.39,67.6,33,38,Average,No,0,Not Placed
STU0070,Mechanical,64.0,6.74,75.9,42,93,Good,No,0,Placed
STU0071,Civil,51.8,5.45,66.2,19,81,Excellent,Yes,2,Not Placed
STU0072,E&TC,62.5,6.58,90.5,65,94,Average,No,2,Placed
STU0073,Civil,86.9,9.15,73.2,40,73,Average,No,1,Placed
STU0074,Mechanical,52.9,5.57,86.9,34,39,Excellent,No,4,Not Placed
STU0075,E&TC,43.2,4.55,90.9,70,78,Average,Yes,3,Placed
STU0076,Civil,55.5,5.84,74.2,41,33,Good,No,4,Not Placed
STU0077,Civil,56.1,5.91,93.7,46,27,Excellent,No,0,Not Placed
STU0078,E&TC,76.4,8.04,78.2,44,45,Average,No,4,Placed
STU0079,E&TC,70.6,7.43,90.8,26,97,Average,Yes,1,Placed
STU0080,Computer,83.1,8.75,66.3,12,57,Poor,No,2,Not Placed
STU0081,E&TC,76.5,8.05,73.9,83,38,Average,Yes,2,Placed
STU0082,Civil,62.4,6.57,75.5,9,46,Average,No,4,Not Placed
STU0083,Mechanical,84.8,8.93,55.0,32,29,Good,Yes,1,Not Placed
STU0084,Mechanical,49.2,5.18,69.1,67,66,Average,Yes,1,Not Placed
STU0085,Civil,41.2,4.34,94.0,13,35,Good,Yes,2,Not Placed
STU0086,Mechanical,45.0,4.74,80.3,66,55,Average,Yes,2,Placed
STU0087,Electrical,79.7,8.39,58.5,74,37,Average,Yes,1,Placed
STU0088,Civil,65.4,6.88,66.3,66,32,Average,Yes,1,Not Placed
STU0089,Civil,48.9,5.15,59.2,30,97,Good,Yes,1,Placed
STU0090,E&TC,67.6,7.12,51.2,1,34,Average,Yes,2,Not Placed
STU0091,Computer,48.4,5.09,94.5,89,7,Average,No,2,Not Placed
STU0092,Mechanical,78.3,8.24,71.5,32,38,Excellent,No,2,Placed
STU0093,E&TC,64.5,6.79,64.8,81,53,Good,No,4,Placed
STU0094,Electrical,61.0,6.42,78.7,19,9,Average,Yes,1,Not Placed
STU0095,Mechanical,56.6,5.96,50.4,16,30,Excellent,Yes,5,Not Placed
STU0096,Mechanical,74.7,7.86,63.3,78,16,Average,No,4,Not Placed
STU0097,Mechanical,59.9,6.31,83.7,94,50,Poor,Yes,1,Placed
STU0098,Electrical,44.8,4.72,80.4,86,73,Average,Yes,1,Placed
STU0099,Mechanical,46.5,4.89,97.1,75,97,Poor,No,1,Placed
STU0100,Civil,92.9,9.78,79.8,24,39,Average,No,1,Not Placed
STU0101,Electrical,90.0,9.47,72.9,92,87,Good,Yes,2,Placed
STU0102,Civil,78.5,8.26,86.5,67,21,Poor,No,0,Placed
STU0103,Computer,54.6,5.75,93.4,17,78,Good,Yes,0,Not Placed
STU0104,Civil,93.3,9.82,84.6,13,56,Excellent,No,2,Placed
STU0105,E&TC,82.8,8.72,96.2,87,76,Good,Yes,4,Placed
STU0106,Computer,79.4,8.36,87.5,27,76,Good,Yes,1,Placed
STU0107,Mechanical,64.7,6.81,91.6,77,53,Good,No,5,Placed
STU0108,Civil,55.0,5.79,55.5,14,25,Excellent,Yes,2,Not Placed
STU0109,Civil,45.3,4.77,85.2,28,53,Average,No,5,Not Placed
STU0110,Civil,89.6,9.43,71.1,28,83,Average,Yes,1,Placed
STU0111,Electrical,65.1,6.85,76.5,28,98,Good,No,3,Placed
STU0112,Civil,51.1,5.38,81.4,68,93,Good,No,4,Placed
STU0113,Civil,56.8,5.98,96.6,92,18,Average,Yes,0,Not Placed
STU0114,Computer,71.9,7.57,97.3,91,60,Good,No,5,Placed
STU0115,Civil,49.7,5.23,63.8,74,10,Poor,Yes,2,Not Placed
STU0116,Electrical,87.1,9.17,85.2,20,67,Excellent,Yes,2,Placed
STU0117,Computer,81.7,8.6,86.0,97,100,Average,Yes,3,Placed
STU0118,Electrical,79.6,8.38,66.6,54,5,Poor,No,3,Not Placed
STU0119,Electrical,63.8,6.72,55.9,55,66,Poor,No,0,Placed
STU0120,Computer,74.5,7.84,52.0,70,95,Average,No,5,Placed
STU0121,E&TC,72.1,7.59,87.3,77,85,Average,No,3,Placed
STU0122,Mechanical,75.7,7.97,73.5,96,39,Poor,No,5,Placed
STU0123,Mechanical,44.6,4.69,97.3,58,10,Average,Yes,2,Not Placed
STU0124,Electrical,62.9,6.62,72.3,61,93,Average,No,3,Placed
STU0125,E&TC,42.3,4.45,96.9,75,93,Average,No,2,Placed
STU0126,Civil,67.2,7.07,69.8,25,58,Average,Yes,5,Placed
STU0127,Civil,58.1,6.12,88.1,31,98,Average,No,4,Placed
STU0128,Mechanical,47.9,5.04,54.1,63,0,Average,Yes,5,Not Placed
STU0129,E&TC,45.7,4.81,76.7,6,62,Poor,Yes,3,Not Placed
STU0130,E&TC,72.3,7.61,88.5,32,3,Poor,Yes,4,Not Placed
STU0131,Electrical,49.4,5.2,94.4,72,94,Average,Yes,2,Placed
STU0132,Electrical,90.9,9.57,89.5,98,68,Good,Yes,2,Placed
STU0133,Computer,72.0,7.58,51.8,52,92,Excellent,No,4,Placed
STU0134,Civil,59.1,6.22,67.9,40,56,Excellent,No,0,Not Placed
STU0135,E&TC,72.5,7.63,52.3,44,8,Good,Yes,4,Not Placed
STU0136,Electrical,41.3,4.35,55.2,69,2,Good,Yes,0,Not Placed
STU0137,Electrical,92.7,9.76,82.4,54,33,Average,Yes,3,Placed
STU0138,Electrical,66.5,7.0,84.2,2,75,Good,Yes,2,Placed
STU0139,Computer,83.1,8.75,87.1,54,15,Good,No,2,Placed
STU0140,Civil,44.6,4.69,91.5,40,86,Good,Yes,2,Placed
STU0141,Civil,66.8,7.03,85.5,70,24,Excellent,No,2,Placed
STU0142,E&TC,67.0,7.05,88.4,88,50,Average,No,2,Placed
STU0143,E&TC,91.6,9.64,52.4,97,20,Good,No,2,Placed
STU0144,Electrical,71.4,7.52,61.3,61,47,Good,No,3,Placed
STU0145,E&TC,66.0,6.95,79.9,36,45,Average,Yes,4,Not Placed
STU0146,Electrical,54.7,5.76,91.2,44,0,Excellent,No,3,Not Placed
STU0147,Civil,58.2,6.13,50.2,17,57,Poor,No,3,Not Placed
STU0148,Civil,68.6,7.22,74.7,94,79,Excellent,No,5,Placed
STU0149,E&TC,64.1,6.75,82.5,85,94,Good,No,5,Placed
STU0150,Civil,41.2,4.34,51.4,86,33,Poor,No,0,Not Placed
STU0151,Computer,85.4,8.99,69.3,33,88,Good,No,4,Placed
STU0152,Computer,89.3,9.4,93.0,32,88,Poor,Yes,1,Placed
STU0153,Electrical,47.7,5.02,82.2,86,99,Good,No,1,Placed
STU0154,Electrical,70.5,7.42,61.4,54,37,Good,No,4,Not Placed
STU0155,Civil,46.0,4.84,90.9,71,85,Good,Yes,0,Placed
STU0156,Electrical,77.0,8.11,66.7,49,57,Excellent,No,5,Placed
STU0157,Electrical,55.5,5.84,91.0,44,5,Poor,Yes,4,Not Placed
STU0158,E&TC,76.3,8.03,64.3,63,27,Average,No,5,Placed
STU0159,Mechanical,80.0,8.42,78.3,82,67,Average,Yes,4,Placed
STU0160,Electrical,82.3,8.66,69.1,33,16,Poor,Yes,5,Not Placed
STU0161,Electrical,45.9,4.83,63.2,81,43,Average,No,0,Not Placed
STU0162,Electrical,90.4,9.52,92.6,24,78,Average,Yes,5,Placed
STU0163,E&TC,52.7,5.55,59.0,40,15,Average,Yes,0,Not Placed
STU0164,E&TC,42.1,4.43,54.1,92,50,Average,Yes,1,Not Placed
STU0165,Electrical,70.5,7.42,66.4,96,21,Excellent,Yes,0,Placed
STU0166,Electrical,60.4,6.36,84.4,93,54,Average,No,2,Placed
STU0167,Electrical,85.6,9.01,88.8,31,24,Excellent,No,4,Placed
STU0168,Computer,84.5,8.89,97.9,85,97,Average,Yes,1,Placed
STU0169,Electrical,57.4,6.04,64.2,94,7,Average,No,4,Not Placed
STU0170,Mechanical,92.4,9.73,69.6,98,97,Good,Yes,3,Placed
STU0171,Computer,56.0,5.89,56.6,2,79,Average,No,3,Not Placed
STU0172,Computer,68.3,7.19,77.6,75,86,Average,Yes,5,Placed
STU0173,Electrical,54.1,5.69,97.9,100,86,Good,Yes,2,Placed
STU0174,Computer,91.5,9.63,83.6,77,18,Average,Yes,2,Placed
STU0175,Civil,49.1,5.17,78.6,23,94,Average,No,5,Not Placed
STU0176,Electrical,42.5,4.47,68.8,77,60,Good,Yes,3,Placed
STU0177,Mechanical,63.9,6.73,93.9,10,97,Average,Yes,3,Placed
STU0178,Civil,94.6,9.96,73.9,48,88,Good,No,1,Placed
STU0179,Electrical,89.0,9.37,56.4,63,58,Average,No,1,Placed
STU0180,Civil,81.2,8.55,67.5,46,37,Excellent,Yes,1,Placed
STU0181,Civil,89.0,9.37,53.2,70,11,Good,No,1,Placed
STU0182,Computer,89.1,9.38,59.7,24,10,Excellent,No,1,Not Placed
STU0183,Mechanical,68.5,7.21,50.8,61,39,Good,Yes,4,Placed
STU0184,Electrical,57.4,6.04,71.8,65,81,Poor,No,0,Placed
STU0185,E&TC,82.5,8.68,80.5,64,51,Good,Yes,3,Placed
STU0186,Computer,76.4,8.04,66.5,29,48,Average,No,5,Placed
STU0187,Computer,60.6,6.38,70.2,30,24,Good,Yes,4,Not Placed
STU0188,E&TC,45.2,4.76,96.0,26,57,Good,No,2,Not Placed
STU0189,E&TC,81.1,8.54,86.1,46,64,Average,Yes,0,Placed
STU0190,Computer,54.4,5.73,76.0,59,99,Excellent,Yes,5,Placed
STU0191,Electrical,91.5,9.63,63.7,36,73,Poor,No,0,Placed
STU0192,Civil,53.3,5.61,93.1,41,61,Good,Yes,4,Placed
STU0193,Computer,46.8,4.93,61.3,28,91,Good,No,4,Not Placed
STU0194,Mechanical,85.7,9.02,65.6,22,42,Poor,No,1,Not Placed
STU0195,Mechanical,48.4,5.09,93.6,66,94,Good,No,4,Placed
STU0196,Civil,49.9,5.25,75.4,82,37,Good,Yes,1,Not Placed
STU0197,Mechanical,73.0,7.68,85.6,29,12,Poor,No,1,Not Placed
STU0198,Electrical,88.1,9.27,78.4,86,42,Good,Yes,4,Placed
STU0199,Mechanical,50.8,5.35,81.4,57,13,Average,Yes,5,Not Placed
STU0200,Civil,57.1,6.01,64.4,16,11,Good,No,1,Not Placed
STU0201,Computer,82.8,8.72,61.6,36,89,Poor,No,5,Placed
STU0202,Mechanical,93.5,9.84,65.5,0,80,Excellent,Yes,5,Placed
STU0203,Mechanical,67.5,7.11,57.5,3,22,Excellent,Yes,4,Not Placed
STU0204,E&TC,47.9,5.04,92.0,33,84,Average,No,0,Not Placed
STU0205,E&TC,40.8,4.29,63.6,45,6,Average,No,1,Not Placed
STU0206,Electrical,52.6,5.54,77.0,80,28,Good,Yes,4,Placed
STU0207,Computer,47.3,4.98,88.0,13,71,Good,No,5,Not Placed
STU0208,Civil,77.3,8.14,87.6,84,30,Average,Yes,4,Placed
STU0209,Electrical,46.7,4.92,71.0,23,73,Average,Yes,2,Not Placed
STU0210,E&TC,67.8,7.14,72.9,13,88,Poor,No,1,Not Placed
STU0211,Mechanical,78.2,8.23,97.7,70,6,Excellent,No,5,Placed
STU0212,E&TC,72.0,7.58,82.4,78,2,Average,Yes,1,Not Placed
STU0213,E&TC,51.0,5.37,89.1,61,94,Excellent,Yes,2,Placed
STU0214,Mechanical,84.2,8.86,93.3,11,52,Average,Yes,5,Placed
STU0215,Civil,79.3,8.35,87.8,11,51,Excellent,No,3,Placed
STU0216,Mechanical,80.6,8.48,58.9,39,46,Poor,Yes,1,Placed
STU0217,Mechanical,47.2,4.97,77.0,45,43,Poor,Yes,0,Not Placed
STU0218,Mechanical,46.8,4.93,54.9,100,69,Excellent,No,2,Placed
STU0219,Civil,91.0,9.58,81.3,28,58,Excellent,Yes,5,Placed
STU0220,Mechanical,61.9,6.52,95.9,19,16,Average,No,2,Not Placed
STU0221,Civil,56.6,5.96,74.6,95,63,Average,Yes,4,Placed
STU0222,Electrical,66.9,7.04,70.8,15,67,Average,No,1,Not Placed
STU0223,Civil,76.5,8.05,51.7,2,11,Average,Yes,4,Not Placed
STU0224,E&TC,92.6,9.75,96.1,42,38,Average,Yes,4,Placed
STU0225,Computer,55.8,5.87,54.9,40,79,Excellent,Yes,3,Placed
STU0226,E&TC,90.9,9.57,52.0,62,62,Average,No,4,Placed
STU0227,Computer,41.4,4.36,61.8,88,13,Good,No,3,Placed
STU0228,Electrical,70.5,7.42,53.1,94,4,Poor,Yes,2,Placed
STU0229,Mechanical,74.9,7.88,71.8,29,58,Poor,Yes,4,Not Placed
STU0230,Civil,45.8,4.82,74.8,99,46,Good,No,5,Placed
STU0231,Civil,47.7,5.02,65.0,63,97,Average,Yes,5,Placed
STU0232,E&TC,63.1,6.64,52.4,7,52,Good,Yes,1,Not Placed
STU0233,Electrical,93.1,9.8,55.4,94,94,Poor,No,4,Placed
STU0234,E&TC,72.8,7.66,68.5,13,21,Excellent,Yes,0,Not Placed
STU0235,Mechanical,91.3,9.61,52.9,59,45,Good,Yes,3,Placed
STU0236,Mechanical,84.2,8.86,83.5,79,14,Excellent,Yes,3,Placed
STU0237,Mechanical,65.7,6.92,59.9,25,57,Poor,Yes,2,Not Placed
STU0238,Electrical,83.2,8.76,64.5,27,19,Average,Yes,5,Not Placed
STU0239,Civil,41.0,4.32,68.9,48,49,Average,No,5,Not Placed
STU0240,E&TC,46.0,4.84,70.0,89,34,Good,No,0,Not Placed
STU0241,Mechanical,85.6,9.01,50.1,22,18,Average,Yes,1,Not Placed
STU0242,Mechanical,83.8,8.82,55.4,67,9,Poor,No,1,Not Placed
STU0243,E&TC,52.8,5.56,91.4,45,51,Average,Yes,5,Not Placed
STU0244,Electrical,69.2,7.28,50.1,11,95,Average,No,3,Not Placed
STU0245,Mechanical,73.3,7.72,74.4,71,20,Average,Yes,4,Placed
STU0246,E&TC,87.7,9.23,73.5,84,40,Average,No,4,Placed
STU0247,Electrical,73.2,7.71,66.0,58,22,Average,Yes,4,Not Placed
STU0248,E&TC,62.7,6.6,70.7,17,81,Good,Yes,0,Placed
STU0249,E&TC,60.6,6.38,87.5,15,41,Average,Yes,0,Placed
STU0250,E&TC,63.4,6.67,90.4,42,98,Average,Yes,2,Placed
STU0251,Electrical,75.9,7.99,62.5,51,24,Good,Yes,2,Placed
STU0252,Civil,87.7,9.23,65.5,55,8,Good,No,4,Placed
STU0253,E&TC,65.0,6.84,61.6,24,58,Average,No,0,Not Placed
STU0254,Mechanical,53.6,5.64,73.0,50,65,Good,Yes,2,Not Placed
STU0255,Computer,53.0,5.58,82.8,29,100,Excellent,No,1,Placed
STU0256,Mechanical,81.0,8.53,61.0,69,88,Good,No,1,Placed
STU0257,Civil,84.9,8.94,65.9,80,89,Excellent,No,1,Placed
STU0258,Electrical,45.8,4.82,94.7,65,64,Good,No,1,Not Placed
STU0259,Computer,43.7,4.6,52.3,0,36,Poor,No,3,Not Placed
STU0260,Electrical,72.7,7.65,72.1,100,43,Average,Yes,2,Placed
STU0261,Computer,48.0,5.05,84.2,2,13,Good,No,2,Not Placed
STU0262,Electrical,85.4,8.99,57.2,100,43,Excellent,No,2,Placed
STU0263,Electrical,57.1,6.01,52.3,3,36,Average,Yes,4,Not Placed
STU0264,Civil,47.9,5.04,56.6,52,3,Poor,Yes,5,Not Placed
STU0265,Electrical,90.7,9.55,94.1,10,20,Good,Yes,3,Placed
STU0266,Electrical,49.1,5.17,50.4,9,53,Poor,No,3,Not Placed
STU0267,Civil,55.7,5.86,59.0,69,37,Good,Yes,4,Placed
STU0268,Civil,48.4,5.09,51.5,73,100,Good,No,4,Placed
STU0269,E&TC,46.4,4.88,55.3,11,48,Good,No,0,Not Placed
STU0270,Mechanical,41.2,4.34,79.8,98,96,Excellent,No,5,Placed
STU0271,Electrical,43.0,4.53,61.6,32,66,Good,Yes,0,Not Placed
STU0272,Mechanical,49.6,5.22,77.3,32,4,Good,No,2,Not Placed
STU0273,Electrical,42.9,4.52,78.3,29,20,Good,No,3,Not Placed
STU0274,Computer,72.5,7.63,90.8,46,71,Good,Yes,2,Placed
STU0275,Electrical,77.4,8.15,50.2,17,55,Excellent,No,1,Placed
STU0276,Computer,61.6,6.48,91.0,42,30,Poor,Yes,5,Not Placed
STU0277,Electrical,57.5,6.05,79.7,21,52,Good,No,0,Not Placed
STU0278,E&TC,67.7,7.13,57.8,5,91,Average,Yes,1,Not Placed
STU0279,E&TC,88.1,9.27,87.1,37,39,Excellent,Yes,5,Placed
STU0280,Electrical,86.8,9.14,91.1,67,4,Good,Yes,4,Placed
STU0281,Computer,42.4,4.46,62.2,77,31,Average,Yes,0,Not Placed
STU0282,Mechanical,50.0,5.26,94.1,35,94,Average,Yes,4,Not Placed
STU0283,Computer,53.0,5.58,71.8,32,76,Average,No,5,Placed
STU0284,Civil,53.7,5.65,79.0,79,84,Good,Yes,0,Placed
STU0285,E&TC,71.4,7.52,97.3,68,92,Average,Yes,2,Placed
STU0286,Electrical,62.9,6.62,67.4,84,11,Poor,No,2,Not Placed
STU0287,Computer,42.7,4.49,89.0,91,28,Excellent,No,0,Not Placed
STU0288,Computer,60.5,6.37,65.3,82,6,Good,Yes,1,Not Placed
STU0289,E&TC,68.8,7.24,88.4,94,0,Average,No,1,Not Placed
STU0290,Mechanical,45.6,4.8,78.8,42,84,Average,Yes,1,Not Placed
STU0291,Computer,85.8,9.03,60.4,39,94,Excellent,No,2,Placed
STU0292,Computer,42.9,4.52,69.9,32,15,Good,Yes,2,Not Placed
STU0293,Mechanical,90.9,9.57,65.2,23,72,Good,No,1,Placed
STU0294,Civil,45.5,4.79,53.7,75,54,Average,No,1,Not Placed
STU0295,E&TC,86.4,9.09,51.4,72,6,Average,No,1,Not Placed
STU0296,Mechanical,89.6,9.43,66.6,80,92,Poor,No,4,Placed
STU0297,Civil,93.9,9.88,50.9,16,87,Good,No,1,Placed
STU0298,Computer,84.1,8.85,57.9,49,57,Poor,Yes,5,Placed
STU0299,Computer,82.9,8.73,84.8,22,71,Poor,No,3,Not Placed
STU0300,Computer,75.3,7.93,84.0,90,40,Good,No,4,Placed
STU0301,E&TC,82.8,8.72,85.5,27,80,Excellent,No,3,Placed
STU0302,Electrical,47.4,4.99,65.2,14,44,Good,Yes,1,Not Placed
STU0303,E&TC,69.5,7.32,92.7,57,99,Average,Yes,3,Placed
STU0304,Computer,68.3,7.19,78.5,88,6,Average,No,1,Not Placed
STU0305,Computer,87.2,9.18,56.0,92,17,Average,Yes,0,Placed
STU0306,E&TC,65.5,6.89,56.9,9,97,Average,Yes,1,Not Placed
STU0307,Computer,61.2,6.44,83.3,32,29,Good,Yes,1,Not Placed
STU0308,Computer,75.2,7.92,58.3,15,31,Average,No,0,Not Placed
STU0309,Electrical,54.7,5.76,74.4,31,79,Good,Yes,0,Placed
STU0310,Civil,47.7,5.02,97.6,53,19,Excellent,Yes,5,Placed
STU0311,Mechanical,66.3,6.98,50.2,28,51,Excellent,Yes,3,Placed
STU0312,Electrical,62.9,6.62,50.8,6,28,Poor,No,2,Not Placed
STU0313,Civil,52.8,5.56,97.7,51,19,Average,No,5,Placed
STU0314,Electrical,60.2,6.34,78.1,5,97,Average,Yes,1,Placed
STU0315,Mechanical,60.2,6.34,56.1,22,20,Average,Yes,2,Not Placed
STU0316,Computer,58.0,6.11,93.1,0,9,Average,No,5,Not Placed
STU0317,Electrical,60.9,6.41,92.3,8,68,Average,Yes,3,Not Placed
STU0318,E&TC,77.7,8.18,75.7,44,87,Good,No,2,Placed
STU0319,Civil,56.3,5.93,79.8,85,12,Average,Yes,1,Placed
STU0320,E&TC,92.2,9.71,63.1,78,71,Excellent,No,0,Placed
STU0321,Computer,90.4,9.52,52.4,9,54,Poor,Yes,0,Not Placed
STU0322,Computer,66.5,7.0,78.5,3,83,Poor,No,0,Not Placed
STU0323,Electrical,58.1,6.12,64.1,34,12,Average,Yes,4,Not Placed
STU0324,Computer,69.4,7.31,81.9,65,98,Poor,No,3,Placed
STU0325,Electrical,86.7,9.13,90.1,75,62,Average,No,2,Placed
STU0326,E&TC,75.9,7.99,50.9,83,85,Excellent,No,4,Placed
STU0327,Mechanical,84.2,8.86,78.6,34,36,Average,Yes,0,Not Placed
STU0328,Electrical,69.3,7.29,61.1,16,95,Average,Yes,1,Placed
STU0329,Civil,74.8,7.87,91.9,2,63,Good,No,2,Not Placed
STU0330,Computer,55.8,5.87,62.2,14,12,Average,No,5,Not Placed
STU0331,E&TC,80.4,8.46,79.3,6,93,Good,Yes,3,Placed
STU0332,Mechanical,51.1,5.38,76.6,86,80,Average,Yes,5,Placed
STU0333,E&TC,78.2,8.23,69.0,27,30,Good,Yes,1,Not Placed
STU0334,Civil,87.3,9.19,82.5,83,55,Poor,No,5,Placed
STU0335,Computer,47.3,4.98,84.8,55,39,Average,No,0,Not Placed
STU0336,Civil,73.8,7.77,77.2,54,54,Good,No,1,Not Placed
STU0337,Computer,45.2,4.76,86.4,45,97,Excellent,No,3,Placed
STU0338,Electrical,79.9,8.41,97.2,82,90,Average,Yes,0,Placed
STU0339,E&TC,44.6,4.69,70.1,4,21,Good,Yes,5,Not Placed
STU0340,E&TC,91.5,9.63,74.7,9,98,Poor,Yes,5,Placed
STU0341,E&TC,47.6,5.01,50.6,42,44,Average,No,3,Not Placed
STU0342,Electrical,92.7,9.76,88.2,39,71,Poor,Yes,1,Placed
STU0343,Electrical,84.0,8.84,75.0,55,77,Good,Yes,0,Placed
STU0344,Mechanical,72.7,7.65,69.6,74,48,Average,Yes,3,Placed
STU0345,E&TC,83.0,8.74,54.5,59,46,Good,Yes,3,Placed
STU0346,Electrical,83.7,8.81,92.7,26,46,Poor,No,4,Not Placed
STU0347,Civil,92.0,9.68,69.0,33,87,Excellent,Yes,3,Placed
STU0348,Mechanical,53.9,5.67,82.8,75,39,Good,Yes,0,Placed
STU0349,Civil,72.5,7.63,57.2,20,28,Poor,No,0,Not Placed
STU0350,Mechanical,45.2,4.76,96.2,50,36,Poor,Yes,4,Placed
STU0351,Civil,73.9,7.78,58.6,54,19,Poor,Yes,0,Not Placed
STU0352,Computer,49.4,5.2,59.6,75,39,Excellent,Yes,5,Placed
STU0353,Computer,71.1,7.48,91.2,72,11,Average,No,0,Not Placed
